Jahr;Monate;Art;Gebaeude;Wohnungen;Wohnflaeche (1000qm);Wohnraeume;Baukosten
2003;Januar;Wohngebaeude;22043;29301;3575;161664;4556997
2003;Februar;Wohngebaeude;18805;25770;3136;139807;3938687
2003;Maerz;Wohngebaeude;17795;24577;2967;132306;3751837
2003;April;Wohngebaeude;15167;21910;2591;115473;3233197
2003;Mai;Wohngebaeude;13816;20304;2367;105349;2929836
2003;Juni;Wohngebaeude;13047;19118;2229;99540;2771492
2003;Juli;Wohngebaeude;13317;19617;2286;101963;2847824
2003;August;Wohngebaeude;12017;18496;2098;93623;2645589
2003;September;Wohngebaeude;12339;18366;2113;94642;2601587
2003;Oktober;Wohngebaeude;13445;19954;2293;102610;2803034
2003;November;Wohngebaeude;13001;18450;2160;96895;2640873
2003;Dezember;Wohngebaeude;19151;27485;3235;145681;3972467
2004;Januar;Wohngebaeude;20687;26503;3281;146974;4058688
2004;Februar;Wohngebaeude;19257;25886;3160;141122;3966013
2004;Maerz;Wohngebaeude;18610;26527;3191;141610;3995391
2004;April;Wohngebaeude;13081;20474;2369;104647;2987232
2004;Mai;Wohngebaeude;11751;17538;2035;91105;2527063
2004;Juni;Wohngebaeude;11412;17351;2010;89544;2467565
2004;Juli;Wohngebaeude;10438;16305;1859;84046;2302332
2004;August;Wohngebaeude;10693;16710;1905;86070;2332102
2004;September;Wohngebaeude;10260;15796;1814;81190;2245981
2004;Oktober;Wohngebaeude;10492;16367;1849;83321;2291806
2004;November;Wohngebaeude;10652;16944;1882;85097;2328850
2004;Dezember;Wohngebaeude;12766;19490;2242;100538;2765245
2005;Januar;Wohngebaeude;13216;18226;2199;98149;2723229
2005;Februar;Wohngebaeude;11998;17559;2059;91225;2566331
2005;Maerz;Wohngebaeude;12342;17944;2103;92062;2584380
2005;April;Wohngebaeude;11059;16425;1932;85006;2387298
2005;Mai;Wohngebaeude;10314;16324;1870;82253;2246403
2005;Juni;Wohngebaeude;10859;16963;1932;85907;2414091
2005;Juli;Wohngebaeude;10493;16219;1880;83064;2341055
2005;August;Wohngebaeude;11548;17111;2001;88206;2492659
2005;September;Wohngebaeude;11430;17527;2024;88944;2494656
2005;Oktober;Wohngebaeude;10689;16024;1845;81801;2283323
2005;November;Wohngebaeude;11931;18135;2098;92934;2531760
2005;Dezember;Wohngebaeude;16107;23213;2757;120941;3386917
2006;Januar;Wohngebaeude;17986;24490;2983;131338;3715032
2006;Februar;Wohngebaeude;15812;22052;2687;117375;3353092
2006;Maerz;Wohngebaeude;16466;23910;2888;125687;3597918
2006;April;Wohngebaeude;12342;18515;2194;95412;2718160
2006;Mai;Wohngebaeude;12090;18761;2212;95625;2748829
2006;Juni;Wohngebaeude;10390;16157;1884;82354;2344517
2006;Juli;Wohngebaeude;10767;17536;1992;86875;2489202
2006;August;Wohngebaeude;11062;17056;1971;85555;2501285
2006;September;Wohngebaeude;9466;15155;1722;75014;2140926
2006;Oktober;Wohngebaeude;9073;14743;1680;73456;2072439
2006;November;Wohngebaeude;8218;13633;1538;67181;1892066
2006;Dezember;Wohngebaeude;8388;14303;1588;69937;1944551
2007;Januar;Wohngebaeude;6690;11536;1296;55703;1606575
2007;Februar;Wohngebaeude;6707;10971;1265;54753;1595960
2007;Maerz;Wohngebaeude;7912;12953;1482;63934;1864470
2007;April;Wohngebaeude;7912;13301;1535;65392;1933182
2007;Mai;Wohngebaeude;8798;14154;1636;70203;2067542
2007;Juni;Wohngebaeude;8134;13472;1540;67703;1963102
2007;Juli;Wohngebaeude;8669;14654;1653;70835;2090202
2007;August;Wohngebaeude;8419;13640;1570;67921;1965865
2007;September;Wohngebaeude;7858;13313;1531;65612;1942867
2007;Oktober;Wohngebaeude;8147;13447;1538;65745;1924857
2007;November;Wohngebaeude;7237;12312;1395;60088;1785247
2007;Dezember;Wohngebaeude;7509;13387;1495;64311;1888311
2008;Januar;Wohngebaeude;6463;10886;1268;53842;1620347
2008;Februar;Wohngebaeude;7261;12050;1396;59696;1814476
